sl.no.,State,Code
1,Uttar Pradesh,UP
2,Uttarakhand,UK
3,Himachal Pradesh,HP
4,Haryana,HR
5,Rajasthan,RJ
6,Bihar,BR
7,Chandigarh,CH
8,Punjab,PB
9,Madhya Pradesh,MP
10,Tamil Nadu,TN
11,Andra Pradesh,AP
12,Goa,GA
